Problem Instance:		bpp1
Seed:				1000

Initial Solution fitness:	0.08989069643806458
Mutational Solution fitness:	0.08989069643806458

Iterations:		10
Time taken in nanoseconds:	74769838

0 [1500.0]  [940.0, 560.0, ] 
1 [1500.0]  [900.0, 330.0, 270.0, ] 
2 [1500.0]  [840.0, 660.0, ] 
3 [1500.0]  [640.0, 660.0, 200.0, ] 
4 [1500.0]  [710.0, 530.0, 260.0, ] 
5 [1500.0]  [740.0, 310.0, 450.0, ] 
6 [1500.0]  [820.0, 460.0, 220.0, ] 
7 [1500.0]  [800.0, 700.0, ] 
8 [1500.0]  [760.0, 540.0, 200.0, ] 
9 [1500.0]  [980.0, 320.0, 200.0, ] 
10 [1500.0]  [550.0, 700.0, 250.0, ] 
11 [1500.0]  [910.0, 390.0, 200.0, ] 
12 [1500.0]  [320.0, 910.0, 270.0, ] 
13 [1500.0]  [740.0, 500.0, 260.0, ] 
14 [1500.0]  [810.0, 690.0, ] 
15 [1500.0]  [940.0, 360.0, 200.0, ] 
16 [1500.0]  [940.0, 330.0, 230.0, ] 
17 [1500.0]  [670.0, 610.0, 220.0, ] 
18 [1500.0]  [910.0, 320.0, 270.0, ] 
19 [1500.0]  [740.0, 550.0, 210.0, ] 
20 [1500.0]  [970.0, 300.0, 230.0, ] 
21 [1500.0]  [910.0, 590.0, ] 
22 [1500.0]  [860.0, 440.0, 200.0, ] 
23 [1500.0]  [900.0, 360.0, 240.0, ] 
24 [1500.0]  [800.0, 700.0, ] 
25 [1500.0]  [980.0, 320.0, 200.0, ] 
26 [1500.0]  [830.0, 670.0, ] 
27 [1500.0]  [610.0, 600.0, 290.0, ] 
28 [1500.0]  [770.0, 730.0, ] 
29 [1500.0]  [620.0, 620.0, 260.0, ] 
30 [1500.0]  [600.0, 570.0, 330.0, ] 
31 [1500.0]  [680.0, 820.0, ] 
32 [1500.0]  [820.0, 470.0, 210.0, ] 
33 [1500.0]  [920.0, 370.0, 210.0, ] 
34 [1500.0]  [790.0, 410.0, 300.0, ] 
35 [1500.0]  [860.0, 370.0, 270.0, ] 
36 [1500.0]  [980.0, 520.0, ] 
37 [1500.0]  [1000.0, 500.0, ] 
38 [1500.0]  [650.0, 600.0, 250.0, ] 
39 [1500.0]  [900.0, 360.0, 240.0, ] 
40 [1500.0]  [860.0, 390.0, 250.0, ] 
41 [1500.0]  [900.0, 600.0, ] 
42 [1500.0]  [540.0, 530.0, 430.0, ] 
43 [1500.0]  [670.0, 630.0, 200.0, ] 
44 [1500.0]  [700.0, 800.0, ] 
45 [1500.0]  [870.0, 630.0, ] 
46 [1500.0]  [840.0, 400.0, 260.0, ] 
47 [1500.0]  [970.0, 530.0, ] 
48 [1500.0]  [750.0, 240.0, 290.0, 220.0, ] 
49 [1500.0]  [840.0, 660.0, ] 
50 [1500.0]  [710.0, 450.0, 340.0, ] 
51 [1500.0]  [670.0, 370.0, 460.0, ] 
52 [1500.0]  [800.0, 340.0, 360.0, ] 
53 [1500.0]  [940.0, 560.0, ] 
54 [1490.0]  [830.0, 660.0, ] 
55 [1490.0]  [590.0, 560.0, 340.0, ] 
56 [1490.0]  [830.0, 320.0, 340.0, ] 
57 [1490.0]  [870.0, 420.0, 200.0, ] 
58 [1490.0]  [800.0, 480.0, 210.0, ] 
59 [1490.0]  [750.0, 360.0, 380.0, ] 
60 [1490.0]  [990.0, 290.0, 210.0, ] 
61 [1490.0]  [920.0, 570.0, ] 
62 [1490.0]  [680.0, 810.0, ] 
63 [1490.0]  [920.0, 270.0, 300.0, ] 
64 [1490.0]  [820.0, 350.0, 320.0, ] 
65 [1490.0]  [810.0, 680.0, ] 
66 [1490.0]  [880.0, 400.0, 210.0, ] 
67 [1490.0]  [880.0, 370.0, 240.0, ] 
68 [1490.0]  [810.0, 430.0, 250.0, ] 
69 [1490.0]  [700.0, 790.0, ] 
70 [1490.0]  [950.0, 540.0, ] 
71 [1490.0]  [640.0, 640.0, 210.0, ] 
72 [1490.0]  [670.0, 820.0, ] 
73 [1490.0]  [710.0, 780.0, ] 
74 [1490.0]  [790.0, 470.0, 230.0, ] 
75 [1490.0]  [880.0, 360.0, 250.0, ] 
76 [1490.0]  [920.0, 570.0, ] 
77 [1490.0]  [800.0, 320.0, 370.0, ] 
78 [1490.0]  [960.0, 530.0, ] 
79 [1490.0]  [990.0, 500.0, ] 
80 [1490.0]  [790.0, 450.0, 250.0, ] 
81 [1490.0]  [780.0, 390.0, 320.0, ] 
82 [1490.0]  [640.0, 620.0, 230.0, ] 
83 [1490.0]  [800.0, 370.0, 320.0, ] 
84 [1490.0]  [640.0, 850.0, ] 
85 [1490.0]  [750.0, 740.0, ] 
86 [1490.0]  [700.0, 790.0, ] 
87 [1490.0]  [370.0, 920.0, 200.0, ] 
88 [1490.0]  [420.0, 850.0, 220.0, ] 
89 [1490.0]  [900.0, 300.0, 290.0, ] 
90 [1490.0]  [730.0, 540.0, 220.0, ] 
91 [1490.0]  [710.0, 780.0, ] 
92 [1490.0]  [690.0, 510.0, 290.0, ] 
93 [1490.0]  [460.0, 820.0, 210.0, ] 
94 [1490.0]  [710.0, 430.0, 350.0, ] 
95 [1480.0]  [580.0, 490.0, 210.0, 200.0, ] 
96 [1480.0]  [830.0, 270.0, 380.0, ] 
97 [1480.0]  [640.0, 460.0, 380.0, ] 
98 [1480.0]  [900.0, 580.0, ] 
99 [1480.0]  [980.0, 500.0, ] 
100 [1480.0]  [730.0, 430.0, 320.0, ] 
101 [1480.0]  [800.0, 440.0, 240.0, ] 
102 [1480.0]  [930.0, 550.0, ] 
103 [1480.0]  [690.0, 450.0, 340.0, ] 
104 [1480.0]  [580.0, 620.0, 280.0, ] 
105 [1480.0]  [970.0, 310.0, 200.0, ] 
106 [1480.0]  [990.0, 490.0, ] 
107 [1480.0]  [880.0, 600.0, ] 
108 [1480.0]  [950.0, 530.0, ] 
109 [1480.0]  [950.0, 530.0, ] 
110 [1480.0]  [910.0, 570.0, ] 
111 [1480.0]  [800.0, 680.0, ] 
112 [1480.0]  [790.0, 690.0, ] 
113 [1480.0]  [950.0, 530.0, ] 
114 [1480.0]  [690.0, 560.0, 230.0, ] 
115 [1480.0]  [1000.0, 480.0, ] 
116 [1480.0]  [990.0, 490.0, ] 
117 [1480.0]  [860.0, 620.0, ] 
118 [1480.0]  [990.0, 490.0, ] 
119 [1480.0]  [910.0, 570.0, ] 
120 [1480.0]  [700.0, 410.0, 370.0, ] 
121 [1480.0]  [990.0, 490.0, ] 
122 [1480.0]  [550.0, 230.0, 470.0, 230.0, ] 
123 [1480.0]  [750.0, 460.0, 270.0, ] 
124 [1480.0]  [1000.0, 480.0, ] 
125 [1470.0]  [980.0, 490.0, ] 
126 [1470.0]  [580.0, 890.0, ] 
127 [1470.0]  [750.0, 720.0, ] 
128 [1470.0]  [570.0, 900.0, ] 
129 [1470.0]  [970.0, 500.0, ] 
130 [1470.0]  [810.0, 410.0, 250.0, ] 
131 [1470.0]  [620.0, 650.0, 200.0, ] 
132 [1470.0]  [720.0, 490.0, 260.0, ] 
133 [1470.0]  [580.0, 270.0, 360.0, 260.0, ] 
134 [1470.0]  [480.0, 610.0, 380.0, ] 
135 [1470.0]  [770.0, 700.0, ] 
136 [1470.0]  [780.0, 690.0, ] 
137 [1470.0]  [760.0, 710.0, ] 
138 [1470.0]  [760.0, 710.0, ] 
139 [1470.0]  [550.0, 920.0, ] 
140 [1470.0]  [860.0, 270.0, 340.0, ] 
141 [1470.0]  [920.0, 550.0, ] 
142 [1470.0]  [880.0, 590.0, ] 
143 [1470.0]  [840.0, 330.0, 300.0, ] 
144 [1470.0]  [880.0, 300.0, 290.0, ] 
145 [1470.0]  [830.0, 390.0, 250.0, ] 
146 [1470.0]  [820.0, 350.0, 300.0, ] 
147 [1470.0]  [960.0, 510.0, ] 
148 [1470.0]  [920.0, 550.0, ] 
149 [1470.0]  [780.0, 690.0, ] 
150 [1470.0]  [970.0, 500.0, ] 
151 [1470.0]  [940.0, 530.0, ] 
152 [1470.0]  [780.0, 690.0, ] 
153 [1470.0]  [870.0, 600.0, ] 
154 [1470.0]  [660.0, 810.0, ] 
155 [1470.0]  [820.0, 370.0, 280.0, ] 
156 [1460.0]  [680.0, 780.0, ] 
157 [1460.0]  [790.0, 670.0, ] 
158 [1460.0]  [820.0, 640.0, ] 
159 [1460.0]  [970.0, 270.0, 220.0, ] 
160 [1460.0]  [670.0, 790.0, ] 
161 [1460.0]  [760.0, 470.0, 230.0, ] 
162 [1460.0]  [610.0, 850.0, ] 
163 [1460.0]  [990.0, 470.0, ] 
164 [1460.0]  [720.0, 500.0, 240.0, ] 
165 [1460.0]  [580.0, 880.0, ] 
166 [1460.0]  [750.0, 710.0, ] 
167 [1460.0]  [950.0, 510.0, ] 
168 [1460.0]  [840.0, 620.0, ] 
169 [1460.0]  [480.0, 980.0, ] 
170 [1460.0]  [840.0, 350.0, 270.0, ] 
171 [1460.0]  [870.0, 590.0, ] 
172 [1460.0]  [810.0, 650.0, ] 
173 [1460.0]  [660.0, 340.0, 460.0, ] 
174 [1460.0]  [940.0, 260.0, 260.0, ] 
175 [1460.0]  [990.0, 470.0, ] 
176 [1460.0]  [920.0, 280.0, 260.0, ] 
177 [1460.0]  [910.0, 550.0, ] 
178 [1460.0]  [810.0, 650.0, ] 
179 [1460.0]  [840.0, 620.0, ] 
180 [1460.0]  [960.0, 500.0, ] 
181 [1460.0]  [850.0, 610.0, ] 
182 [1460.0]  [800.0, 420.0, 240.0, ] 
183 [1460.0]  [840.0, 410.0, 210.0, ] 
184 [1450.0]  [720.0, 730.0, ] 
185 [1450.0]  [630.0, 820.0, ] 
186 [1450.0]  [800.0, 420.0, 230.0, ] 
187 [1450.0]  [970.0, 480.0, ] 
188 [1450.0]  [920.0, 530.0, ] 
189 [1450.0]  [850.0, 370.0, 230.0, ] 
190 [1450.0]  [750.0, 700.0, ] 
191 [1450.0]  [670.0, 550.0, 230.0, ] 
192 [1450.0]  [960.0, 490.0, ] 
193 [1450.0]  [660.0, 790.0, ] 
194 [1450.0]  [710.0, 470.0, 270.0, ] 
195 [1450.0]  [970.0, 230.0, 250.0, ] 
196 [1450.0]  [920.0, 230.0, 300.0, ] 
197 [1450.0]  [930.0, 520.0, ] 
198 [1450.0]  [780.0, 670.0, ] 
199 [1450.0]  [460.0, 370.0, 620.0, ] 
200 [1450.0]  [720.0, 730.0, ] 
