Problem Instance:		bpp2
Seed:				1000

Initial Solution fitness:	0.09996490134994807
Mutational Solution fitness:	0.09996490134994807

Iterations:		10
Time taken in nanoseconds:	76432872

0 [1500.0]  [370.0, 710.0, 220.0, 200.0, ] 
1 [1500.0]  [1000.0, 280.0, 220.0, ] 
2 [1500.0]  [930.0, 570.0, ] 
3 [1500.0]  [900.0, 370.0, 230.0, ] 
4 [1500.0]  [760.0, 740.0, ] 
5 [1500.0]  [810.0, 490.0, 200.0, ] 
6 [1500.0]  [760.0, 540.0, 200.0, ] 
7 [1500.0]  [840.0, 370.0, 290.0, ] 
8 [1500.0]  [990.0, 510.0, ] 
9 [1500.0]  [840.0, 450.0, 210.0, ] 
10 [1500.0]  [790.0, 710.0, ] 
11 [1500.0]  [550.0, 730.0, 220.0, ] 
12 [1500.0]  [950.0, 330.0, 220.0, ] 
13 [1500.0]  [1000.0, 300.0, 200.0, ] 
14 [1500.0]  [580.0, 690.0, 230.0, ] 
15 [1500.0]  [590.0, 650.0, 260.0, ] 
16 [1500.0]  [840.0, 340.0, 320.0, ] 
17 [1500.0]  [490.0, 780.0, 230.0, ] 
18 [1500.0]  [840.0, 440.0, 220.0, ] 
19 [1500.0]  [790.0, 460.0, 250.0, ] 
20 [1500.0]  [610.0, 680.0, 210.0, ] 
21 [1500.0]  [820.0, 390.0, 290.0, ] 
22 [1500.0]  [940.0, 560.0, ] 
23 [1500.0]  [870.0, 630.0, ] 
24 [1500.0]  [900.0, 600.0, ] 
25 [1500.0]  [750.0, 750.0, ] 
26 [1500.0]  [930.0, 570.0, ] 
27 [1500.0]  [900.0, 600.0, ] 
28 [1500.0]  [900.0, 360.0, 240.0, ] 
29 [1500.0]  [780.0, 390.0, 330.0, ] 
30 [1500.0]  [980.0, 320.0, 200.0, ] 
31 [1500.0]  [280.0, 990.0, 230.0, ] 
32 [1500.0]  [970.0, 330.0, 200.0, ] 
33 [1500.0]  [940.0, 280.0, 280.0, ] 
34 [1500.0]  [1000.0, 500.0, ] 
35 [1500.0]  [980.0, 310.0, 210.0, ] 
36 [1500.0]  [420.0, 830.0, 250.0, ] 
37 [1500.0]  [330.0, 970.0, 200.0, ] 
38 [1500.0]  [630.0, 660.0, 210.0, ] 
39 [1500.0]  [910.0, 590.0, ] 
40 [1500.0]  [990.0, 300.0, 210.0, ] 
41 [1500.0]  [690.0, 580.0, 230.0, ] 
42 [1500.0]  [350.0, 560.0, 360.0, 230.0, ] 
43 [1500.0]  [930.0, 350.0, 220.0, ] 
44 [1500.0]  [990.0, 510.0, ] 
45 [1500.0]  [900.0, 380.0, 220.0, ] 
46 [1500.0]  [1000.0, 500.0, ] 
47 [1500.0]  [830.0, 400.0, 270.0, ] 
48 [1500.0]  [920.0, 220.0, 360.0, ] 
49 [1500.0]  [900.0, 380.0, 220.0, ] 
50 [1500.0]  [760.0, 450.0, 290.0, ] 
51 [1500.0]  [640.0, 560.0, 300.0, ] 
52 [1500.0]  [940.0, 560.0, ] 
53 [1500.0]  [820.0, 680.0, ] 
54 [1500.0]  [780.0, 460.0, 260.0, ] 
55 [1500.0]  [540.0, 690.0, 270.0, ] 
56 [1490.0]  [830.0, 660.0, ] 
57 [1490.0]  [840.0, 430.0, 220.0, ] 
58 [1490.0]  [1000.0, 490.0, ] 
59 [1490.0]  [940.0, 350.0, 200.0, ] 
60 [1490.0]  [900.0, 350.0, 240.0, ] 
61 [1490.0]  [920.0, 330.0, 240.0, ] 
62 [1490.0]  [830.0, 420.0, 240.0, ] 
63 [1490.0]  [760.0, 730.0, ] 
64 [1490.0]  [830.0, 660.0, ] 
65 [1490.0]  [940.0, 270.0, 280.0, ] 
66 [1490.0]  [980.0, 510.0, ] 
67 [1490.0]  [910.0, 310.0, 270.0, ] 
68 [1490.0]  [670.0, 600.0, 220.0, ] 
69 [1490.0]  [660.0, 360.0, 270.0, 200.0, ] 
70 [1490.0]  [630.0, 620.0, 240.0, ] 
71 [1490.0]  [580.0, 910.0, ] 
72 [1490.0]  [950.0, 340.0, 200.0, ] 
73 [1490.0]  [610.0, 600.0, 280.0, ] 
74 [1490.0]  [650.0, 580.0, 260.0, ] 
75 [1490.0]  [420.0, 840.0, 230.0, ] 
76 [1490.0]  [910.0, 580.0, ] 
77 [1490.0]  [750.0, 740.0, ] 
78 [1490.0]  [420.0, 480.0, 390.0, 200.0, ] 
79 [1490.0]  [980.0, 510.0, ] 
80 [1490.0]  [920.0, 570.0, ] 
81 [1490.0]  [620.0, 650.0, 220.0, ] 
82 [1490.0]  [640.0, 850.0, ] 
83 [1490.0]  [880.0, 610.0, ] 
84 [1490.0]  [930.0, 300.0, 260.0, ] 
85 [1490.0]  [900.0, 330.0, 260.0, ] 
86 [1490.0]  [770.0, 380.0, 340.0, ] 
87 [1490.0]  [920.0, 360.0, 210.0, ] 
88 [1490.0]  [460.0, 770.0, 260.0, ] 
89 [1490.0]  [780.0, 710.0, ] 
90 [1490.0]  [960.0, 300.0, 230.0, ] 
91 [1490.0]  [780.0, 710.0, ] 
92 [1490.0]  [980.0, 230.0, 280.0, ] 
93 [1490.0]  [840.0, 650.0, ] 
94 [1490.0]  [810.0, 680.0, ] 
95 [1490.0]  [270.0, 310.0, 690.0, 220.0, ] 
96 [1490.0]  [890.0, 390.0, 210.0, ] 
97 [1490.0]  [890.0, 380.0, 220.0, ] 
98 [1490.0]  [610.0, 350.0, 530.0, ] 
99 [1490.0]  [920.0, 570.0, ] 
100 [1490.0]  [670.0, 820.0, ] 
101 [1490.0]  [970.0, 520.0, ] 
102 [1490.0]  [950.0, 540.0, ] 
103 [1480.0]  [820.0, 660.0, ] 
104 [1480.0]  [790.0, 280.0, 410.0, ] 
105 [1480.0]  [680.0, 800.0, ] 
106 [1480.0]  [770.0, 710.0, ] 
107 [1480.0]  [840.0, 640.0, ] 
108 [1480.0]  [850.0, 630.0, ] 
109 [1480.0]  [840.0, 640.0, ] 
110 [1480.0]  [380.0, 300.0, 520.0, 280.0, ] 
111 [1480.0]  [740.0, 500.0, 240.0, ] 
112 [1480.0]  [760.0, 480.0, 240.0, ] 
113 [1480.0]  [660.0, 820.0, ] 
114 [1480.0]  [710.0, 510.0, 260.0, ] 
115 [1480.0]  [650.0, 490.0, 340.0, ] 
116 [1480.0]  [840.0, 640.0, ] 
117 [1480.0]  [740.0, 540.0, 200.0, ] 
118 [1480.0]  [910.0, 330.0, 240.0, ] 
119 [1480.0]  [760.0, 410.0, 310.0, ] 
120 [1480.0]  [960.0, 520.0, ] 
121 [1480.0]  [360.0, 860.0, 260.0, ] 
122 [1480.0]  [900.0, 310.0, 270.0, ] 
123 [1480.0]  [700.0, 380.0, 400.0, ] 
124 [1480.0]  [620.0, 550.0, 310.0, ] 
125 [1480.0]  [830.0, 650.0, ] 
126 [1480.0]  [850.0, 410.0, 220.0, ] 
127 [1480.0]  [870.0, 610.0, ] 
128 [1480.0]  [700.0, 780.0, ] 
129 [1480.0]  [840.0, 640.0, ] 
130 [1480.0]  [960.0, 520.0, ] 
131 [1480.0]  [860.0, 620.0, ] 
132 [1480.0]  [670.0, 470.0, 340.0, ] 
133 [1480.0]  [800.0, 390.0, 290.0, ] 
134 [1480.0]  [880.0, 600.0, ] 
135 [1470.0]  [610.0, 620.0, 240.0, ] 
136 [1470.0]  [730.0, 740.0, ] 
137 [1470.0]  [800.0, 360.0, 310.0, ] 
138 [1470.0]  [990.0, 480.0, ] 
139 [1470.0]  [510.0, 540.0, 420.0, ] 
140 [1470.0]  [400.0, 800.0, 270.0, ] 
141 [1470.0]  [840.0, 630.0, ] 
142 [1470.0]  [780.0, 690.0, ] 
143 [1470.0]  [930.0, 540.0, ] 
144 [1470.0]  [810.0, 450.0, 210.0, ] 
145 [1470.0]  [820.0, 390.0, 260.0, ] 
146 [1470.0]  [810.0, 660.0, ] 
147 [1470.0]  [810.0, 380.0, 280.0, ] 
148 [1470.0]  [660.0, 810.0, ] 
149 [1470.0]  [510.0, 690.0, 270.0, ] 
150 [1470.0]  [900.0, 570.0, ] 
151 [1470.0]  [610.0, 320.0, 540.0, ] 
152 [1470.0]  [730.0, 740.0, ] 
153 [1470.0]  [860.0, 330.0, 280.0, ] 
154 [1470.0]  [580.0, 540.0, 350.0, ] 
155 [1470.0]  [650.0, 820.0, ] 
156 [1460.0]  [820.0, 380.0, 260.0, ] 
157 [1460.0]  [1000.0, 460.0, ] 
158 [1460.0]  [740.0, 720.0, ] 
159 [1460.0]  [630.0, 510.0, 320.0, ] 
160 [1460.0]  [870.0, 300.0, 290.0, ] 
161 [1460.0]  [740.0, 720.0, ] 
162 [1460.0]  [570.0, 560.0, 330.0, ] 
163 [1460.0]  [890.0, 570.0, ] 
164 [1460.0]  [520.0, 640.0, 300.0, ] 
165 [1460.0]  [830.0, 630.0, ] 
166 [1460.0]  [770.0, 350.0, 340.0, ] 
167 [1460.0]  [890.0, 570.0, ] 
168 [1460.0]  [860.0, 600.0, ] 
169 [1460.0]  [860.0, 390.0, 210.0, ] 
170 [1460.0]  [970.0, 490.0, ] 
171 [1450.0]  [820.0, 630.0, ] 
172 [1450.0]  [550.0, 380.0, 520.0, ] 
173 [1450.0]  [520.0, 690.0, 240.0, ] 
174 [1450.0]  [950.0, 500.0, ] 
175 [1450.0]  [860.0, 590.0, ] 
176 [1450.0]  [430.0, 410.0, 610.0, ] 
177 [1450.0]  [520.0, 620.0, 310.0, ] 
178 [1450.0]  [630.0, 820.0, ] 
179 [1450.0]  [950.0, 500.0, ] 
180 [1450.0]  [790.0, 660.0, ] 
181 [1450.0]  [910.0, 540.0, ] 
182 [1450.0]  [730.0, 720.0, ] 
183 [1450.0]  [890.0, 280.0, 280.0, ] 
184 [1450.0]  [740.0, 710.0, ] 
185 [1450.0]  [790.0, 660.0, ] 
186 [1450.0]  [970.0, 480.0, ] 
187 [1450.0]  [880.0, 570.0, ] 
188 [1450.0]  [480.0, 330.0, 350.0, 290.0, ] 
189 [1450.0]  [810.0, 640.0, ] 
190 [1450.0]  [540.0, 500.0, 410.0, ] 
191 [1450.0]  [730.0, 440.0, 280.0, ] 
192 [1450.0]  [820.0, 630.0, ] 
193 [1450.0]  [970.0, 230.0, 250.0, ] 
194 [1450.0]  [490.0, 370.0, 590.0, ] 
195 [1450.0]  [760.0, 690.0, ] 
196 [1450.0]  [800.0, 650.0, ] 
197 [1450.0]  [850.0, 390.0, 210.0, ] 
