Problem Instance:		bpp2
Seed:				1000

Initial Solution fitness:	0.09996490134994807
Crossover Solution fitness:	0.05427849720223521

Iterations:		11
Time taken in nanoseconds:	890630915

0 [1500.0]  [370.0, 710.0, 220.0, 200.0, ] 
1 [1500.0]  [1000.0, 280.0, 220.0, ] 
2 [1500.0]  [930.0, 570.0, ] 
3 [1500.0]  [900.0, 370.0, 230.0, ] 
4 [1500.0]  [760.0, 740.0, ] 
5 [1500.0]  [810.0, 490.0, 200.0, ] 
6 [1500.0]  [760.0, 540.0, 200.0, ] 
7 [1500.0]  [840.0, 370.0, 290.0, ] 
8 [1500.0]  [990.0, 510.0, ] 
9 [1500.0]  [840.0, 450.0, 210.0, ] 
10 [1500.0]  [790.0, 710.0, ] 
11 [1500.0]  [550.0, 730.0, 220.0, ] 
12 [1500.0]  [950.0, 330.0, 220.0, ] 
13 [1500.0]  [1000.0, 300.0, 200.0, ] 
14 [1500.0]  [580.0, 690.0, 230.0, ] 
15 [1500.0]  [590.0, 650.0, 260.0, ] 
16 [1500.0]  [840.0, 340.0, 320.0, ] 
17 [1500.0]  [490.0, 780.0, 230.0, ] 
18 [1500.0]  [840.0, 440.0, 220.0, ] 
19 [1500.0]  [790.0, 460.0, 250.0, ] 
20 [1500.0]  [610.0, 680.0, 210.0, ] 
21 [1500.0]  [820.0, 390.0, 290.0, ] 
22 [1500.0]  [940.0, 560.0, ] 
23 [1500.0]  [870.0, 630.0, ] 
24 [1500.0]  [900.0, 600.0, ] 
25 [1500.0]  [750.0, 750.0, ] 
26 [1500.0]  [930.0, 570.0, ] 
27 [1500.0]  [900.0, 600.0, ] 
28 [1500.0]  [900.0, 360.0, 240.0, ] 
29 [1500.0]  [780.0, 390.0, 330.0, ] 
30 [1500.0]  [980.0, 320.0, 200.0, ] 
31 [1500.0]  [280.0, 990.0, 230.0, ] 
32 [1500.0]  [970.0, 330.0, 200.0, ] 
33 [1500.0]  [940.0, 280.0, 280.0, ] 
34 [1500.0]  [1000.0, 500.0, ] 
35 [1500.0]  [980.0, 310.0, 210.0, ] 
36 [1500.0]  [420.0, 830.0, 250.0, ] 
37 [1500.0]  [330.0, 970.0, 200.0, ] 
38 [1500.0]  [630.0, 660.0, 210.0, ] 
39 [1500.0]  [910.0, 590.0, ] 
40 [1500.0]  [990.0, 300.0, 210.0, ] 
41 [1500.0]  [690.0, 580.0, 230.0, ] 
42 [1500.0]  [350.0, 560.0, 360.0, 230.0, ] 
43 [1500.0]  [930.0, 350.0, 220.0, ] 
44 [1500.0]  [990.0, 510.0, ] 
45 [1500.0]  [900.0, 380.0, 220.0, ] 
46 [1500.0]  [1000.0, 500.0, ] 
47 [1500.0]  [830.0, 400.0, 270.0, ] 
48 [1500.0]  [920.0, 220.0, 360.0, ] 
49 [1500.0]  [900.0, 380.0, 220.0, ] 
50 [1500.0]  [760.0, 450.0, 290.0, ] 
51 [1500.0]  [640.0, 560.0, 300.0, ] 
52 [1500.0]  [940.0, 560.0, ] 
53 [1500.0]  [820.0, 680.0, ] 
54 [1500.0]  [780.0, 460.0, 260.0, ] 
55 [1500.0]  [540.0, 690.0, 270.0, ] 
56 [1500.0]  [920.0, 380.0, 200.0, ] 
57 [1500.0]  [620.0, 310.0, 300.0, 270.0, ] 
58 [1500.0]  [890.0, 390.0, 220.0, ] 
59 [1500.0]  [650.0, 610.0, 240.0, ] 
60 [1500.0]  [780.0, 370.0, 350.0, ] 
61 [1500.0]  [880.0, 340.0, 280.0, ] 
62 [1500.0]  [890.0, 610.0, ] 
63 [1500.0]  [790.0, 390.0, 320.0, ] 
64 [1500.0]  [810.0, 690.0, ] 
65 [1500.0]  [820.0, 480.0, 200.0, ] 
66 [1500.0]  [1000.0, 300.0, 200.0, ] 
67 [1500.0]  [1000.0, 500.0, ] 
68 [1500.0]  [880.0, 620.0, ] 
69 [1500.0]  [740.0, 760.0, ] 
70 [1500.0]  [850.0, 430.0, 220.0, ] 
71 [1500.0]  [420.0, 870.0, 210.0, ] 
72 [1500.0]  [620.0, 630.0, 250.0, ] 
73 [1500.0]  [260.0, 880.0, 360.0, ] 
74 [1500.0]  [670.0, 830.0, ] 
75 [1500.0]  [990.0, 310.0, 200.0, ] 
76 [1500.0]  [750.0, 750.0, ] 
77 [1500.0]  [740.0, 420.0, 340.0, ] 
78 [1500.0]  [910.0, 380.0, 210.0, ] 
79 [1500.0]  [820.0, 680.0, ] 
80 [1500.0]  [700.0, 800.0, ] 
81 [1500.0]  [820.0, 420.0, 260.0, ] 
82 [1500.0]  [570.0, 440.0, 280.0, 210.0, ] 
83 [1500.0]  [830.0, 440.0, 230.0, ] 
84 [1500.0]  [690.0, 540.0, 270.0, ] 
85 [1500.0]  [910.0, 590.0, ] 
86 [1500.0]  [860.0, 640.0, ] 
87 [1500.0]  [860.0, 420.0, 220.0, ] 
88 [1500.0]  [410.0, 340.0, 380.0, 370.0, ] 
89 [1500.0]  [980.0, 520.0, ] 
90 [1500.0]  [980.0, 520.0, ] 
91 [1500.0]  [910.0, 590.0, ] 
92 [1500.0]  [910.0, 590.0, ] 
93 [1500.0]  [900.0, 600.0, ] 
94 [1500.0]  [850.0, 650.0, ] 
95 [1500.0]  [810.0, 690.0, ] 
96 [1500.0]  [780.0, 720.0, ] 
97 [1500.0]  [990.0, 510.0, ] 
98 [1500.0]  [980.0, 520.0, ] 
99 [1500.0]  [950.0, 550.0, ] 
100 [1500.0]  [940.0, 560.0, ] 
101 [1500.0]  [930.0, 570.0, ] 
102 [1500.0]  [930.0, 570.0, ] 
103 [1500.0]  [920.0, 580.0, ] 
104 [1500.0]  [880.0, 620.0, ] 
105 [1500.0]  [880.0, 620.0, ] 
106 [1500.0]  [860.0, 640.0, ] 
107 [1500.0]  [860.0, 640.0, ] 
108 [1500.0]  [840.0, 660.0, ] 
109 [1500.0]  [840.0, 660.0, ] 
110 [1500.0]  [840.0, 660.0, ] 
111 [1500.0]  [830.0, 670.0, ] 
112 [1500.0]  [820.0, 680.0, ] 
113 [1500.0]  [810.0, 690.0, ] 
114 [1500.0]  [810.0, 690.0, ] 
115 [1500.0]  [790.0, 710.0, ] 
116 [1500.0]  [790.0, 710.0, ] 
117 [1500.0]  [780.0, 720.0, ] 
118 [1500.0]  [780.0, 720.0, ] 
119 [1500.0]  [770.0, 500.0, 230.0, ] 
120 [1500.0]  [760.0, 740.0, ] 
121 [1500.0]  [760.0, 740.0, ] 
122 [1500.0]  [750.0, 750.0, ] 
123 [1500.0]  [430.0, 420.0, 410.0, 240.0, ] 
124 [1500.0]  [410.0, 400.0, 400.0, 290.0, ] 
125 [1500.0]  [390.0, 390.0, 390.0, 330.0, ] 
126 [1500.0]  [390.0, 380.0, 380.0, 350.0, ] 
127 [1500.0]  [380.0, 380.0, 380.0, 360.0, ] 
128 [1490.0]  [830.0, 660.0, ] 
129 [1490.0]  [1000.0, 490.0, ] 
130 [1490.0]  [920.0, 330.0, 240.0, ] 
131 [1490.0]  [760.0, 730.0, ] 
132 [1490.0]  [830.0, 660.0, ] 
133 [1490.0]  [940.0, 270.0, 280.0, ] 
134 [1490.0]  [980.0, 510.0, ] 
135 [1490.0]  [630.0, 620.0, 240.0, ] 
136 [1490.0]  [580.0, 910.0, ] 
137 [1490.0]  [420.0, 840.0, 230.0, ] 
138 [1490.0]  [910.0, 580.0, ] 
139 [1490.0]  [750.0, 740.0, ] 
140 [1490.0]  [980.0, 510.0, ] 
141 [1490.0]  [920.0, 570.0, ] 
142 [1490.0]  [620.0, 650.0, 220.0, ] 
143 [1490.0]  [880.0, 610.0, ] 
144 [1490.0]  [900.0, 330.0, 260.0, ] 
145 [1490.0]  [770.0, 380.0, 340.0, ] 
146 [1490.0]  [460.0, 770.0, 260.0, ] 
147 [1490.0]  [780.0, 710.0, ] 
148 [1490.0]  [960.0, 300.0, 230.0, ] 
149 [1490.0]  [780.0, 710.0, ] 
150 [1490.0]  [980.0, 230.0, 280.0, ] 
151 [1490.0]  [840.0, 650.0, ] 
152 [1490.0]  [810.0, 680.0, ] 
153 [1490.0]  [270.0, 310.0, 690.0, 220.0, ] 
154 [1490.0]  [890.0, 390.0, 210.0, ] 
155 [1490.0]  [890.0, 380.0, 220.0, ] 
156 [1490.0]  [610.0, 350.0, 530.0, ] 
157 [1490.0]  [670.0, 820.0, ] 
158 [1490.0]  [970.0, 520.0, ] 
159 [1490.0]  [950.0, 540.0, ] 
160 [1490.0]  [280.0, 350.0, 520.0, 340.0, ] 
161 [1490.0]  [700.0, 790.0, ] 
162 [1490.0]  [570.0, 620.0, 300.0, ] 
163 [1490.0]  [760.0, 390.0, 340.0, ] 
164 [1490.0]  [570.0, 640.0, 280.0, ] 
165 [1490.0]  [630.0, 450.0, 410.0, ] 
166 [1490.0]  [990.0, 500.0, ] 
167 [1490.0]  [750.0, 740.0, ] 
168 [1490.0]  [600.0, 590.0, 300.0, ] 
169 [1490.0]  [900.0, 320.0, 270.0, ] 
170 [1490.0]  [600.0, 890.0, ] 
171 [1490.0]  [720.0, 530.0, 240.0, ] 
172 [1490.0]  [860.0, 630.0, ] 
173 [1490.0]  [940.0, 550.0, ] 
174 [1490.0]  [610.0, 880.0, ] 
175 [1490.0]  [730.0, 510.0, 250.0, ] 
176 [1490.0]  [910.0, 580.0, ] 
177 [1490.0]  [860.0, 630.0, ] 
178 [1490.0]  [880.0, 610.0, ] 
179 [1490.0]  [840.0, 650.0, ] 
180 [1490.0]  [750.0, 440.0, 300.0, ] 
181 [1490.0]  [970.0, 520.0, ] 
182 [1490.0]  [830.0, 660.0, ] 
183 [1490.0]  [780.0, 710.0, ] 
184 [1490.0]  [770.0, 500.0, 220.0, ] 
185 [1480.0]  [680.0, 800.0, ] 
186 [1480.0]  [770.0, 710.0, ] 
187 [1480.0]  [840.0, 640.0, ] 
188 [1480.0]  [840.0, 640.0, ] 
189 [1480.0]  [760.0, 480.0, 240.0, ] 
190 [1480.0]  [660.0, 820.0, ] 
191 [1480.0]  [710.0, 510.0, 260.0, ] 
192 [1480.0]  [650.0, 490.0, 340.0, ] 
193 [1480.0]  [840.0, 640.0, ] 
194 [1480.0]  [740.0, 540.0, 200.0, ] 
195 [1480.0]  [910.0, 330.0, 240.0, ] 
196 [1480.0]  [760.0, 410.0, 310.0, ] 
197 [1480.0]  [960.0, 520.0, ] 
198 [1480.0]  [900.0, 310.0, 270.0, ] 
