Problem Instance:		bpp4
Seed:				1000

Initial Solution fitness:	0.08847069841269806
Ruin-Recreate Solution fitness:	0.06299161290322575

Iterations:		1000
Time taken in nanoseconds:	429716171

0 [10000.0]  [5020.0, 4840.0, 140.0, ] 
1 [9990.0]  [6720.0, 2660.0, 550.0, 60.0, ] 
2 [9960.0]  [6460.0, 1180.0, 2320.0, ] 
3 [9950.0]  [5020.0, 4780.0, 150.0, ] 
4 [9920.0]  [5340.0, 4580.0, ] 
5 [9910.0]  [4840.0, 5070.0, ] 
6 [9910.0]  [4300.0, 3480.0, 2130.0, ] 
7 [9910.0]  [5010.0, 2990.0, 1230.0, 680.0, ] 
8 [9900.0]  [1860.0, 6780.0, 1260.0, ] 
9 [9900.0]  [6890.0, 3010.0, ] 
10 [9890.0]  [4120.0, 5770.0, ] 
11 [9890.0]  [3150.0, 6740.0, ] 
12 [9890.0]  [5220.0, 4670.0, ] 
13 [9880.0]  [6450.0, 2320.0, 1110.0, ] 
14 [9880.0]  [5340.0, 4540.0, ] 
15 [9870.0]  [5010.0, 2550.0, 2070.0, 150.0, 90.0, ] 
16 [9780.0]  [4320.0, 3910.0, 1550.0, ] 
17 [9780.0]  [3820.0, 3290.0, 1150.0, 1520.0, ] 
18 [9770.0]  [4460.0, 4030.0, 1280.0, ] 
19 [9770.0]  [4700.0, 5070.0, ] 
20 [9770.0]  [5280.0, 4490.0, ] 
21 [9770.0]  [2880.0, 6890.0, ] 
22 [9770.0]  [2450.0, 6680.0, 640.0, ] 
23 [9770.0]  [5720.0, 4050.0, ] 
24 [9760.0]  [5970.0, 3790.0, ] 
25 [9760.0]  [4530.0, 5230.0, ] 
26 [9750.0]  [6690.0, 3060.0, ] 
27 [9750.0]  [3770.0, 3460.0, 890.0, 870.0, 760.0, ] 
28 [9740.0]  [5850.0, 3890.0, ] 
29 [9740.0]  [5460.0, 4280.0, ] 
30 [9730.0]  [6070.0, 1960.0, 1700.0, ] 
31 [9720.0]  [4340.0, 4000.0, 1380.0, ] 
32 [9710.0]  [5690.0, 4020.0, ] 
33 [9710.0]  [3650.0, 6060.0, ] 
34 [9700.0]  [6390.0, 3310.0, ] 
35 [9700.0]  [6830.0, 2870.0, ] 
36 [9680.0]  [5390.0, 3180.0, 1110.0, ] 
37 [9680.0]  [5220.0, 1870.0, 2590.0, ] 
38 [9650.0]  [6270.0, 3380.0, ] 
39 [9630.0]  [6610.0, 2040.0, 980.0, ] 
40 [9630.0]  [4470.0, 2700.0, 2460.0, ] 
41 [9630.0]  [5010.0, 3450.0, 1170.0, ] 
42 [9620.0]  [5750.0, 3870.0, ] 
43 [9620.0]  [4290.0, 3370.0, 1960.0, ] 
44 [9610.0]  [3620.0, 3400.0, 2590.0, ] 
45 [9590.0]  [5950.0, 3640.0, ] 
46 [9570.0]  [3150.0, 6420.0, ] 
47 [9560.0]  [4920.0, 4640.0, ] 
48 [9550.0]  [6700.0, 2850.0, ] 
49 [9550.0]  [2610.0, 6940.0, ] 
50 [9550.0]  [4210.0, 4160.0, 1180.0, ] 
51 [9510.0]  [6640.0, 2870.0, ] 
52 [9510.0]  [4300.0, 3830.0, 1380.0, ] 
53 [9500.0]  [6460.0, 3040.0, ] 
54 [9500.0]  [3820.0, 3540.0, 2140.0, ] 
55 [9500.0]  [2540.0, 6960.0, ] 
56 [9490.0]  [6660.0, 2830.0, ] 
57 [9480.0]  [5950.0, 2620.0, 910.0, ] 
58 [9470.0]  [5730.0, 3740.0, ] 
59 [9370.0]  [6000.0, 1590.0, 1780.0, ] 
60 [9290.0]  [2490.0, 6800.0, ] 
61 [7480.0]  [4260.0, 2290.0, 930.0, ] 
62 [0.0]  [] 

